# Fracture Radii List After Isolated Fracture and Cluster Removal
# Format: xRadius yRadius Family# (-1 = userRectangle, 0 = userEllipse, > 0 is family in order of famProb)
168.08 168.08 2
166.907 166.907 2
187.071 187.071 6
169.813 169.813 7
169.049 169.049 7
231.496 231.496 4
184.44 184.44 8
194.742 194.742 3
166.145 166.145 2
183.648 183.648 6
179.309 179.309 8
162.402 162.402 7
181.985 181.985 6
181.457 181.457 4
196.687 196.687 9
159.152 159.152 7
157.089 157.089 7
163.804 163.804 2
177.838 177.838 8
196.651 196.651 9
181.161 181.161 6
190.904 190.904 3
190.809 190.809 3
196.304 196.304 9
188.997 188.997 3
178.596 178.596 6
188.05 188.05 3
155.742 155.742 7
155.352 155.352 7
184.931 184.931 3
267.893 267.893 1
183.995 183.995 3
267.549 267.549 1
175.796 175.796 8
178.117 178.117 6
175.652 175.652 8
175.583 175.583 8
183.477 183.477 3
176.046 176.046 6
173.374 173.374 8
195.847 195.847 9
195.155 195.155 9
194.541 194.541 9
173.191 173.191 8
173.163 173.163 8
183.259 183.259 3
174.884 174.884 6
174.804 174.804 6
173.728 173.728 6
182.644 182.644 3
179.983 179.983 4
182.401 182.401 3
180.494 180.494 3
157.048 157.048 2
151.041 151.041 7
171.841 171.841 8
178.446 178.446 3
229.332 229.332 1
169.73 169.73 6
189.475 189.475 9
169.957 169.957 8
177.605 177.605 3
169.945 169.945 8
186.294 186.294 9
169.113 169.113 6
184.983 184.983 9
175.68 175.68 3
168.494 168.494 6
173.784 173.784 3
183.201 183.201 9
167.545 167.545 6
173.36 173.36 3
203.303 203.303 1
149.849 149.849 7
173.266 173.266 3
149.048 149.048 7
161.5 161.5 8
164.567 164.567 6
162.934 162.934 6
172.009 172.009 3
182.709 182.709 9
182.483 182.483 9
170.931 170.931 3
159.572 159.572 8
158.372 158.372 8
162.648 162.648 6
160.001 160.001 6
156.972 156.972 6
155.069 155.069 4
170.923 170.923 3
170.894 170.894 3
155.558 155.558 2
170.755 170.755 3
180.095 180.095 9
148.983 148.983 7
170.55 170.55 3
179.993 179.993 9
148.07 148.07 7
175.62 175.62 9
168.149 168.149 3
173.061 173.061 9
172.707 172.707 9
156.582 156.582 6
172.227 172.227 9
147.26 147.26 7
