# permeability
-7 0 0 6.69778e-10 6.69778e-10 6.69778e-10
-8 0 0 3.57188e-10 3.57188e-10 3.57188e-10
-9 0 0 3.07365e-10 3.07365e-10 3.07365e-10
-10 0 0 5.56243e-10 5.56243e-10 5.56243e-10
-11 0 0 4.67311e-10 4.67311e-10 4.67311e-10
-12 0 0 4.71334e-10 4.71334e-10 4.71334e-10
-13 0 0 1.21107e-09 1.21107e-09 1.21107e-09
-14 0 0 8.69762e-11 8.69762e-11 8.69762e-11
-15 0 0 8.43640e-11 8.43640e-11 8.43640e-11
-16 0 0 2.01845e-09 2.01845e-09 2.01845e-09
-17 0 0 7.24159e-11 7.24159e-11 7.24159e-11
-18 0 0 1.22614e-09 1.22614e-09 1.22614e-09
-19 0 0 6.58601e-11 6.58601e-11 6.58601e-11
-20 0 0 2.12234e-10 2.12234e-10 2.12234e-10
-21 0 0 1.87118e-09 1.87118e-09 1.87118e-09
-22 0 0 1.85477e-09 1.85477e-09 1.85477e-09
-23 0 0 6.11021e-11 6.11021e-11 6.11021e-11
-24 0 0 5.86553e-11 5.86553e-11 5.86553e-11
-25 0 0 1.17849e-09 1.17849e-09 1.17849e-09
-26 0 0 8.41592e-11 8.41592e-11 8.41592e-11
-27 0 0 2.66660e-11 2.66660e-11 2.66660e-11
-28 0 0 5.76455e-11 5.76455e-11 5.76455e-11
-29 0 0 1.85334e-09 1.85334e-09 1.85334e-09
-30 0 0 7.72816e-11 7.72816e-11 7.72816e-11
-31 0 0 2.18519e-10 2.18519e-10 2.18519e-10
-32 0 0 1.16127e-09 1.16127e-09 1.16127e-09
-33 0 0 7.36332e-11 7.36332e-11 7.36332e-11
-34 0 0 1.84672e-09 1.84672e-09 1.84672e-09
-35 0 0 1.80400e-09 1.80400e-09 1.80400e-09
-36 0 0 1.09031e-09 1.09031e-09 1.09031e-09
-37 0 0 7.17113e-11 7.17113e-11 7.17113e-11
-38 0 0 7.09067e-11 7.09067e-11 7.09067e-11
-39 0 0 5.43502e-11 5.43502e-11 5.43502e-11
-40 0 0 2.45010e-11 2.45010e-11 2.45010e-11
-41 0 0 1.15798e-09 1.15798e-09 1.15798e-09
-42 0 0 1.72843e-09 1.72843e-09 1.72843e-09
-43 0 0 6.89746e-11 6.89746e-11 6.89746e-11
-44 0 0 1.72296e-09 1.72296e-09 1.72296e-09
-45 0 0 1.08158e-09 1.08158e-09 1.08158e-09
-46 0 0 5.25670e-11 5.25670e-11 5.25670e-11
-47 0 0 1.68068e-09 1.68068e-09 1.68068e-09
-48 0 0 2.22357e-11 2.22357e-11 2.22357e-11
-49 0 0 6.85648e-11 6.85648e-11 6.85648e-11
-50 0 0 1.12954e-09 1.12954e-09 1.12954e-09
-51 0 0 6.73299e-11 6.73299e-11 6.73299e-11
-52 0 0 1.56436e-09 1.56436e-09 1.56436e-09
-53 0 0 1.11544e-09 1.11544e-09 1.11544e-09
